question,answer,question_arm,answer_arm
where robert frost went to school?,Robert Frost went to school at Dartmouth College and Harvard University.,որտե՞ղ է Ռոբերտ Ֆրոստը դպրոց հաճախել:,Ռոբերտ Ֆրոստը դպրոց է հաճախել Դարթմութ քոլեջում և Հարվարդի համալսարանում:
who should play harley quinn?,Margot Robbie.,ով պետք է խաղա Հարլի Քուին:,Մարգո Ռոբի.
what currency should i take to dubai?,The currency you should take to Dubai is the United Arab Emirates dirham (AED).,ինչ արժույթով պետք է տանեմ Դուբայ:,"Արժույթը, որը դուք պետք է տանեք Դուբայ, Արաբական Միացյալ Էմիրությունների դիրհամն է (AED):"
what county is plainfield il in?,"Plainfield, IL is located in Will County.",Ո՞ր շրջանում է գտնվում Փլեյնֆիլդը:,"Plainfield, IL գտնվում է Ուիլ շրջան։"
what country is the mekong river located in?,"The Mekong River is located in multiple countries including China, Myanmar, Laos, Thailand, Cambodia, and Vietnam.",Ո՞ր երկրում է գտնվում Մեկոնգ գետը:,"Մեկոնգ գետը գտնվում է բազմաթիվ երկրներում, այդ թվում՝ Չինաստանում, Մյանմայում, Լաոսում, Թաիլանդում, Կամբոջայում և Վիետնամում:"
who founded the sisters of saint joseph?,Saint Jean-Baptiste de La Salle.,ով է հիմնել սուրբ Հովսեփի քույրերը:,Սեն Ժան-Բատիստ դե Լա Սալ.
who shot and killed president john f kennedy?,Lee Harvey Oswald.,ով է կրակել և սպանել նախագահ Ջոն Քենեդիին.,Լի Հարվի Օսվալդ.
what is there to do in gatlinburg in december?,"In December, there are several things to do in Gatlinburg such as exploring the Great Smoky Mountains National Park, visiting the Gatlinburg Space Needle, enjoying the Winter Magic Trolley Ride of Lights, and experiencing the Winterfest.",ի՞նչ անել դեկտեմբերին Գաթլինբուրգում:,"Դեկտեմբերին Գեթլինբուրգում կան մի քանի անելիքներ, օրինակ՝ ուսումնասիրել Great Smoky Mountains ազգային պարկը, այցելել Gatlinburg Space Needle, վայելել Winter Magic Trolley Ride of Lights-ը և զգալ Ձմեռային փառատոնը:"
where does the english football team train?,The English football team trains at St. George's Park in Burton upon Trent.,որտեղ է մարզվում անգլիական ֆուտբոլի թիմը:,Անգլիական ֆուտբոլի թիմը մարզվում է Բերթոն-օն Թրենտի Սենթ Ջորջ Պարկում:
who did anne frank wrote her diary to?,Anne Frank wrote her diary to an imaginary friend named Kitty.,ում է Անն Ֆրանկը գրել իր օրագիրը:,Աննա Ֆրանկը գրել է իր օրագիրը Քիթի անունով երևակայական ընկերոջը:
who is tony romo engaged to?,Tony Romo is engaged to Candice Crawford.,ում հետ է նշանված Թոնի Ռոմոն,Թոնի Ռոմոն նշանվել է Քենդիս Քրոուֆորդի հետ։
what do people in south africa speak?,"People in South Africa speak multiple languages, including English, Afrikaans, isiZulu, isiXhosa, Sepedi, Setswana, and more.",ի՞նչ են խոսում Հարավային Աֆրիկայում:,"Հարավային Աֆրիկայում մարդիկ խոսում են բազմաթիվ լեզուներով, այդ թվում՝ անգլերեն, աֆրիկանս, isiZulu, isiXhosa, Sepedi, Setswana և այլն:"
where great britain located?,"Great Britain is located in Europe, off the northwest coast of mainland Europe.",որտեղ է գտնվում Մեծ Բրիտանիան,Մեծ Բրիտանիան գտնվում է Եվրոպայում՝ մայրցամաքային Եվրոպայի հյուսիսարևմտյան ափին։
what state was hillary clinton a senator for?,New York.,ո՞ր նահանգի համար էր Հիլարի Քլինթոնը սենատոր.,Նյու Յորք.
what market does starbucks operate in?,Starbucks operates in the coffee market.,ո՞ր շուկայում է գործում starbucks-ը:,Starbucks-ը գործում է սուրճի շուկայում։
what country does nike operate in?,"Nike operates in several countries, including the United States where it is headquartered.",ո՞ր երկրում է գործում Nike-ը,"Nike-ը գործում է մի քանի երկրներում, այդ թվում՝ ԱՄՆ-ում, որտեղ գտնվում է նրա գլխավոր գրասենյակը:"
what cities are in oakland county michigan?,"Some cities in Oakland County, Michigan include Pontiac, Royal Oak, Farmington Hills, Troy, and Rochester Hills.",Ո՞ր քաղաքներն են Միչիգանի Օքլենդ կոմսությունում:,"Միչիգան ​​նահանգի Օքլենդ շրջանի որոշ քաղաքներ ներառում են Պոնտիակը, Ռոյալ Օուքը, Ֆարմինգթոն Հիլզը, Տրոյը և Ռոչեսթեր Հիլզը:"
what characters does trey parker voice?,"Trey Parker voices numerous characters in South Park including Stan Marsh, Eric Cartman, Randy Marsh, and others.",ինչ կերպարներ է հնչեցնում Թրեյ Փարքերը:,"Թրեյ Փարքերը հնչյունավորում է բազմաթիվ կերպարների South Park-ում, այդ թվում՝ Սթեն Մարշը, Էրիկ Քարթմանը, Ռենդի Մարշը և այլք:"
where will euro 2012 be?,Euro 2012 will be held in Poland and Ukraine.,որտեղ կլինի եվրո 2012-ը.,Եվրո-2012-ը կանցկացվի Լեհաստանում և Ուկրաինայում։
who the voice of lois griffin?,Alex Borstein,ո՞վ է Լոյս Գրիֆինի ձայնը:,Ալեքս Բորշտեյն
when did the 7th harry potter book come out?,"The 7th Harry Potter book, ""Harry Potter and the Deathly Hallows"" came out on July 21, 2007.",Ե՞րբ է լույս տեսել Հարրի Փոթերի 7-րդ գիրքը:,Հարրի Փոթերի 7-րդ գիրքը՝ «Հարրի Փոթերը և մահվան պարգևները» լույս տեսավ 2007 թվականի հուլիսի 21-ին։
what is the parliament of canada called?,The parliament of Canada is called the Parliament of Canada.,ինչպես է կոչվում Կանադայի խորհրդարանը,Կանադայի խորհրդարանը կոչվում է Կանադայի խորհրդարան։
where is south carolina located?,South Carolina is located in the southeastern United States.,որտեղ է գտնվում Հարավային Կարոլինան:,Հարավային Կարոլինան գտնվում է ԱՄՆ-ի հարավ-արևելքում:
who are paul revere's parents?,Paul Revere's parents were Apollos Rivoire and Deborah Hichborn.,ովքեր են Փոլ Ռիվերի ծնողները,Փոլ Ռիվերի ծնողներն էին Ապոլոս Ռիվուարը և Դեբորա Հիչբորնը։
what political system does russia use?,Russia uses a semi-presidential system.,ի՞նչ քաղաքական համակարգ է օգտագործում Ռուսաստանը։,Ռուսաստանը օգտագործում է կիսանախագահական համակարգ.
what are american staffordshire terriers?,"American Staffordshire Terriers are a breed of medium-sized, muscular dogs known for their strength, loyalty, and determination. They are often mistaken for Pit Bulls due to their similar appearance.",ինչ են ամերիկյան stafordshire terriers?,"Ամերիկյան Staffordshire Terriers-ը միջին չափի, մկանուտ շների ցեղատեսակ է, որը հայտնի է իր ուժով, հավատարմությամբ և վճռականությամբ: Նրանց հաճախ շփոթում են պիտբուլների հետ՝ իրենց արտաքին նմանության պատճառով:"
who is the current coach of the chicago bulls?,Billy Donovan.,ով է Չիկագո Բուլզի ներկայիս մարզիչը:,Բիլի Դոնովան.
what language is mainly spoken in england?,English.,ո՞ր լեզվով են հիմնականում խոսում Անգլիայում:,Անգլերեն.
what awards has morgan freeman won?,"Morgan Freeman has won several awards, including an Academy Award, a Golden Globe, and a Screen Actors Guild Award.",ինչ մրցանակներ է շահել Մորգան Ֆրիմենը:,"Մորգան Ֆրիմանը արժանացել է մի քանի մրցանակների, այդ թվում՝ «Օսկար», «Ոսկե գլոբուս» և «Էկրանային դերասանների գիլդիայի» մրցանակ։"
who will michael schumacher drive for in 2013?,"Michael Schumacher retired from Formula 1 racing in 2012, so he did not drive for any team in 2013.",ում համար է մեքենա վարելու Մայքլ Շումախերը 2013 թվականին.,"Միխայել Շումախերը հեռացավ Ֆորմուլա 1-ի մրցարշավից 2012 թվականին, ուստի 2013-ին նա ոչ մի թիմի համար չքշեց:"
what kind of government does the united states have today?,The United States has a democratic republic form of government.,ինչպիսի՞ կառավարություն ունի Միացյալ Նահանգներն այսօր։,ԱՄՆ-ն ունի ժողովրդավարական հանրապետական ​​կառավարման ձև:
who were michael jackson's brothers and sisters?,"Michael Jackson's brothers were Jackie, Tito, Jermaine, Marlon, and Randy. His sisters were Rebbie, La Toya, and Janet.",ովքեր էին Մայքլ Ջեքսոնի եղբայրներն ու քույրերը:,"Մայքլ Ջեքսոնի եղբայրներն էին Ջեքին, Տիտոն, Ջերմեյնը, Մարլոնը և Ռենդին։ Նրա քույրերն էին Ռեբին, Լա Տոյան և Ջանեթը։"
